open_time_utc,open,support
2026-08-20T14:51:00Z,0.09930000,0.09929092
2026-08-20T14:52:00Z,0.09940000,0.09931712
2026-08-20T14:53:00Z,0.09980000,0.09934332
2026-08-20T14:54:00Z,0.09990000,0.09936953
2026-08-20T14:55:00Z,0.09960000,0.09939575
2026-08-20T14:56:00Z,0.09960000,0.09942197
2026-08-20T14:57:00Z,0.09950000,0.09944820
2026-08-20T14:58:00Z,0.09940000,0.09947444
2026-08-20T14:59:00Z,0.09940000,0.09950068
2026-08-20T15:00:00Z,0.09960000,0.09952694
2026-08-20T15:01:00Z,0.09950000,0.09955320
2026-08-20T15:02:00Z,0.09970000,0.09957946
2026-08-20T15:03:00Z,0.10000000,0.09960573
2026-08-20T15:04:00Z,0.10020000,0.09963201
2026-08-20T15:05:00Z,0.10060000,0.09965830
2026-08-20T15:06:00Z,0.10040000,0.09968459
2026-08-20T15:07:00Z,0.10040000,0.09971089
2026-08-20T15:08:00Z,0.10000000,0.09973720
2026-08-20T15:09:00Z,0.09970000,0.09976351
2026-08-20T15:10:00Z,0.09960000,0.09978983
2026-08-20T15:11:00Z,0.09940000,0.09981616
2026-08-20T15:12:00Z,0.09960000,0.09984250
2026-08-20T15:13:00Z,0.09970000,0.09986884
2026-08-20T15:14:00Z,0.09990000,0.09989519
2026-08-20T15:15:00Z,0.09980000,0.09992154
2026-08-20T15:16:00Z,0.09990000,0.09994791
2026-08-20T15:17:00Z,0.10020000,0.09997428
2026-08-20T15:18:00Z,0.10030000,0.10000065
2026-08-20T15:19:00Z,0.10050000,0.10002704
2026-08-20T15:20:00Z,0.10060000,0.10005343
2026-08-20T15:21:00Z,0.10110000,0.10007982
2026-08-20T15:22:00Z,0.10120000,0.10010623
2026-08-20T15:23:00Z,0.10140000,0.10013264
2026-08-20T15:24:00Z,0.10080000,0.10015906
2026-08-20T15:25:00Z,0.10120000,0.10018548
2026-08-20T15:26:00Z,0.10170000,0.10021192
2026-08-20T15:27:00Z,0.10170000,0.10023836
2026-08-20T15:28:00Z,0.10180000,0.10026480
2026-08-20T15:29:00Z,0.10160000,0.10029126
2026-08-20T15:30:00Z,0.10220000,0.10031772
2026-08-20T15:31:00Z,0.10200000,0.10034418
2026-08-20T15:32:00Z,0.10200000,0.10037066
2026-08-20T15:33:00Z,0.10180000,0.10039714
2026-08-20T15:34:00Z,0.10160000,0.10042363
2026-08-20T15:35:00Z,0.10170000,0.10045012
2026-08-20T15:36:00Z,0.10110000,0.10047662
2026-08-20T15:37:00Z,0.10110000,0.10050313
2026-08-20T15:38:00Z,0.10120000,0.10052965
2026-08-20T15:39:00Z,0.10140000,0.10055617
2026-08-20T15:40:00Z,0.10140000,0.10058270
2026-08-20T15:41:00Z,0.10130000,0.10060924
2026-08-20T15:42:00Z,0.10120000,0.10063578
2026-08-20T15:43:00Z,0.10120000,0.10066233
2026-08-20T15:44:00Z,0.10140000,0.10068889
2026-08-20T15:45:00Z,0.10180000,0.10071546
2026-08-20T15:46:00Z,0.10170000,0.10074203
2026-08-20T15:47:00Z,0.10190000,0.10076861
2026-08-20T15:48:00Z,0.10220000,0.10079520
2026-08-20T15:49:00Z,0.10230000,0.10082179
2026-08-20T15:50:00Z,0.10260000,0.10084839
2026-08-20T15:51:00Z,0.10280000,0.10087500
2026-08-20T15:52:00Z,0.10280000,0.10090161
2026-08-20T15:53:00Z,0.10270000,0.10092823
2026-08-20T15:54:00Z,0.10260000,0.10095486
2026-08-20T15:55:00Z,0.10260000,0.10098150
2026-08-20T15:56:00Z,0.10210000,0.10100814
2026-08-20T15:57:00Z,0.10220000,0.10103479
2026-08-20T15:58:00Z,0.10200000,0.10106144
2026-08-20T15:59:00Z,0.10200000,0.10108811
2026-08-20T16:00:00Z,0.10210000,0.10111478
2026-08-20T16:01:00Z,0.10210000,0.10114146
2026-08-20T16:02:00Z,0.10220000,0.10116814
2026-08-20T16:03:00Z,0.10260000,0.10119483
2026-08-20T16:04:00Z,0.10220000,0.10122153
2026-08-20T16:05:00Z,0.10190000,0.10124824
2026-08-20T16:06:00Z,0.10190000,0.10127495
2026-08-20T16:07:00Z,0.10180000,0.10130167
2026-08-20T16:08:00Z,0.10210000,0.10132840
2026-08-20T16:09:00Z,0.10210000,0.10135513
2026-08-20T16:10:00Z,0.10180000,0.10138187
2026-08-20T16:11:00Z,0.10150000,0.10140862
2026-08-20T16:12:00Z,0.10150000,0.10143537
2026-08-20T16:13:00Z,0.10170000,0.10146214
2026-08-20T16:14:00Z,0.10150000,0.10148890
2026-08-20T16:15:00Z,0.10130000,0.10151568
2026-08-20T16:16:00Z,0.10150000,0.10154246
2026-08-20T16:17:00Z,0.10130000,0.10156925
2026-08-20T16:18:00Z,0.10120000,0.10159605
2026-08-20T16:19:00Z,0.10150000,0.10162286
2026-08-20T16:20:00Z,0.10160000,0.10164967
2026-08-20T16:21:00Z,0.10150000,0.10167649
2026-08-20T16:22:00Z,0.10150000,0.10170331
2026-08-20T16:23:00Z,0.10130000,0.10173014
2026-08-20T16:24:00Z,0.10150000,0.10175698
2026-08-20T16:25:00Z,0.10100000,0.10178383
2026-08-20T16:26:00Z,0.10110000,0.10181069
2026-08-20T16:27:00Z,0.10100000,0.10183755
2026-08-20T16:28:00Z,0.10130000,0.10186442
2026-08-20T16:29:00Z,0.10120000,0.10189129
2026-08-20T16:30:00Z,0.10110000,0.10191817
