time_utc,time_ms,mode,strategy_mode,event,reason,target_coin,binance_symbol,hl_connected,binance_connected,hl_bid,hl_ask,hl_mid,hl_spread_bps,hl_book_time_ms,hl_recv_time_ms,binance_bid,binance_ask,binance_mid,binance_book_time_ms,binance_recv_time_ms,basis_raw,basis_ema,fair_px,binance_ret_1s_bps,binance_ret_5s_bps,binance_ret_10s_bps,io_deviation_bps,rapid_move_side,rapid_move_bps,inventory,avg_entry_px,realized_pnl,unrealized_pnl,total_fees,active_bid_px,active_bid_sz,active_bid_oid,active_bid_cloid,active_ask_px,active_ask_sz,active_ask_oid,active_ask_cloid,desired_bid_px,desired_bid_sz,desired_ask_px,desired_ask_sz,block_bid,block_ask,quoting_allowed,raw_json
2026-09-03T14:08:32.899Z,1788444512899,live,binance_basis,set_leverage,,io:OAI,OPENAIUSDT,false,false,,,,,,,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,"{""status"":""ok"",""response"":{""type"":""default""}}"
2026-09-03T14:08:33.295Z,1788444513295,live,binance_basis,cancel_all,feed_disconnected,io:OAI,OPENAIUSDT,false,false,,,,,,,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,[]
2026-09-03T14:08:33.397Z,1788444513397,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,false,false,,,,,,,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.420Z,1788444513420,live,binance_basis,hl_connected,,io:OAI,OPENAIUSDT,true,false,,,,,,,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.499Z,1788444513499,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,false,,,,,,,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.600Z,1788444513600,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,false,,,,,,,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.657Z,1788444513657,live,binance_basis,hl_book,,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.658Z,1788444513658,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.691Z,1788444513691,live,binance_basis,hl_ctx,,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.691Z,1788444513691,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.791Z,1788444513791,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.876Z,1788444513876,live,binance_basis,hl_trade,,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.877Z,1788444513877,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.910Z,1788444513910,live,binance_basis,hl_user_fills_snapshot,,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.911Z,1788444513911,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:34.012Z,1788444514012,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:34.031Z,1788444514031,live,binance_basis,hl_ctx,,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:34.031Z,1788444514031,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,false,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:34.120Z,1788444514120,live,binance_basis,binance_connected,,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:34.133Z,1788444514133,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:34.234Z,1788444514234,live,binance_basis,cancel_all_skip,live_cancel_all_throttle,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
